1, 2, 2, 2, 2, 3
2, 1, 2, 2, 2, 2
4, 2, 2, 2, 2, 2
2, 3, 2, 3, 3, 3
4, 4, 4, 4, 4, 3
4, 3, 4, 4, 4, 4
4, 4, 4, 4, 4, 4
3, 4, 3, 3, 3, 3
4, 4, 4, 3, 4, 4
5, 5, 5, 4, 5, 4
5, 4, 5, 5, 5, 5
4, 4, 4, 4, 4, 4
4, 4, 5, 3, 4, 4                                                                                                                                                                                                                         "internship" 09:48 01-Sep-23
5, 5, 5, 5, 5, 3
5, 5, 5, 5, 5, 5
4, 5, 5, 5, 5, 5
4, 5, 5, 5, 5, 5
4, 4, 4, 4, 4, 4
